MaxDebt	StorageCapacity	FAF	MaritimeFoodResources	OtherCalorieSources	RainfallVariability	RecoverRate	DepletionRate	DegradationFactor	Oikoi	Settlements	CoastalSettlements	InlandSettlements	Migrations	AreaCultivated	CommercialExchanges	TradeDistance
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	56	17	6	11	9	4,298244153	33	75,67
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	91	19	3	16	11	4,030372896	58	100,44
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	72	18	9	9	8	3,978039943	52	102,20
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	59	12	4	8	5	3,850673638	44	67,59
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	59	14	7	7	12	3,998359706	39	103,46
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	82	15	8	7	13	4,017207895	63	75,15
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	67	19	5	14	7	4,040323685	44	79,43
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	89	28	10	18	12	3,911342242	56	108,43
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	38	9	4	5	2	4,175089233	29	70,31
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	89	20	8	12	9	3,837661166	67	82,64
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	40	14	2	12	6	4,074465986	29	116,09
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	6	3	2	1	1	3,650180048	4	6,34
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	91	22	9	13	11	4,041985494	66	92,36
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	112	24	13	11	10	3,72785484	93	93,73
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	51	8	3	5	10	3,636791265	29	51,73
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	96	20	4	16	10	3,704180852	58	98,54
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	53	21	10	11	7	4,235649493	29	77,35
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	69	21	10	11	9	3,567494018	52	95,40
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	85	17	3	14	14	4,00425602	69	107,10
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	121	22	8	14	13	3,841386284	87	102,35
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	59	16	6	10	9	4,313354315	37	89,01
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	90	19	3	16	6	4,086145694	66	93,26
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	74	18	9	9	9	4,004530147	55	90,40
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	58	12	4	8	4	3,866646977	44	66,12
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	60	14	7	7	8	4,078545591	43	91,86
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	77	14	8	6	4	4,071022696	70	70,94
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	67	19	5	14	7	4,171869794	50	81,31
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	89	28	10	18	9	3,977322174	69	97,20
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	38	9	4	5	3	4,278180504	31	72,30
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	88	19	7	12	9	3,913416864	69	97,91
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	40	13	2	11	6	4,098929155	29	96,70
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	6	2	1	1	1	3,815860543	4	4,11
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	96	22	9	13	10	3,976496979	68	97,52
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	103	24	13	11	11	3,839645898	77	98,13
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	51	8	3	5	8	3,790040388	31	60,18
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	99	20	4	16	7	3,719854415	71	101,93
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	50	20	10	10	8	4,230102642	29	77,64
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	68	21	10	11	8	3,634716694	52	109,04
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	84	17	3	14	6	4,050347854	64	93,28
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	119	22	8	14	14	3,937837064	94	99,68
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	58	16	6	10	11	4,450123896	38	89,16
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	87	19	3	16	6	4,121887382	72	106,35
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	71	18	9	9	9	4,090008139	60	88,54
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	53	12	4	8	3	3,934370783	40	86,58
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	60	14	7	7	13	4,240987095	40	103,71
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	76	14	8	6	8	4,057667431	67	76,76
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	64	18	5	13	5	4,300561817	47	86,43
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	91	26	8	18	9	4,008669368	69	88,28
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	37	9	4	5	2	4,31257306	29	54,67
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	86	20	7	13	7	4,026383677	69	96,96
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	41	13	2	11	4	4,118601005	32	108,47
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	6	2	1	1	1	3,981212307	5	15,44
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	94	22	9	13	18	4,111675599	64	96,13
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	104	20	11	9	8	3,897039906	80	100,27
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	50	8	3	5	5	3,981912504	31	52,83
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	94	20	4	16	9	3,820892134	71	112,44
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	54	20	10	10	7	4,284433795	28	72,87
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	67	20	10	10	5	3,718252538	51	98,27
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	80	16	3	13	8	4,090800975	67	105,30
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	120	22	8	14	8	3,959150738	89	103,40
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	59	16	6	10	6	4,539028609	42	95,73
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	87	19	3	16	5	4,098292865	71	103,90
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	72	17	9	8	5	4,115749755	57	89,30
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	56	12	4	8	2	3,916706902	39	82,54
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	57	14	7	7	7	4,341536974	36	109,08
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	78	14	8	6	8	4,079088192	67	91,62
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	64	18	5	13	5	4,238223152	51	71,10
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	92	26	8	18	12	4,060877971	70	98,64
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	34	9	4	5	3	4,284099058	28	67,31
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	89	20	7	13	4	4,024523121	75	88,98
